year,elite_status,net_social_justice_normalized,net_racial_diversity_normalized,net_womens_rights_normalized,net_gay_rights_normalized,net_activism_normalized,net_capitalism_normalized,net_administration_normalized,net_compassion_normalized,wokeness_index_normalized
2000,elite,0.1957715276,0.08232986681,0.1743243243,0.07918442464,0.1222404671,-0.003130131363,0.03133004926,0.1869782214,0.2573517968
2000,non-elite,0.1610021272,0.06248330547,0.142173347,0.05598115626,0.08119661928,-0.008987369746,0.02852410585,0.1620672725,0.2305674471
2001,elite,0.1454410592,0.05443917393,0.1330916817,0.04432124843,0.07716529942,-0.002982098633,0.01492530674,0.1619362884,0.2201835376
2001,non-elite,0.1214935183,0.04116172003,0.1122250856,0.02389762393,0.05163874733,-0.003089656382,0.01590713916,0.1546392462,0.2025579208
2002,elite,0.1207276693,0.04563685238,0.1152544957,0.02056854817,0.06113214661,0.01203247405,0.005159477452,0.1603326902,0.2016572837
2002,non-elite,0.1077783147,0.03714309329,0.1037426652,0.01447211294,0.04616152481,0.009159829201,0.00712317294,0.1427513002,0.1916325639
2003,elite,0.1137361074,0.05302096655,0.1161055402,0.02255401505,0.05928263941,0.01684975648,-0.01253389329,0.1388740611,0.1966908821
2003,non-elite,0.09659124041,0.03623550407,0.102654239,0.01639989359,0.04201593706,0.013590278,-0.01774123789,0.1196694613,0.1829959358
2004,elite,0.1230647927,0.05369206812,0.120616728,0.03141780925,0.05963627317,0.01411789348,-0.008163449736,0.1408216715,0.2016785695
2004,non-elite,0.1100159857,0.03082418009,0.1011680558,0.0230634706,0.04281226298,0.002089271779,0.004930749855,0.126027146,0.1903615641
2005,elite,0.1407475376,0.05649066591,0.1204641654,0.03956266322,0.06787337493,-0.006742797399,0.02708292096,0.1454808034,0.2155505236
2005,non-elite,0.130449882,0.04803255339,0.1133774296,0.03315404172,0.05913568282,-0.01315638796,0.03028225427,0.1341236639,0.2090409586
2006,elite,0.1547138091,0.0728288762,0.1336074852,0.04985037762,0.0788397616,-0.0193985454,0.05385461517,0.1492463789,0.2318085003
2006,non-elite,0.1420763436,0.06127569473,0.1254642963,0.04239760872,0.06581056273,-0.02549568556,0.05194562852,0.1414432144,0.2231010703
2007,elite,0.1648369422,0.07931653001,0.1427950181,0.0556772096,0.08089895267,-0.0321872807,0.07270683081,0.1575390505,0.2424842256
2007,non-elite,0.1498805257,0.06161749014,0.129608667,0.0441943134,0.06711842951,-0.02869057384,0.06051853339,0.1528807652,0.2283247956
2008,elite,0.1981492965,0.09407127618,0.1618659478,0.0740011398,0.09743459421,-0.04778424748,0.07554059485,0.1789867204,0.2638958449
2008,non-elite,0.1698782311,0.07520702445,0.1435729301,0.05995431201,0.08574425013,-0.04140208727,0.05209714628,0.1657405448,0.2439714399
2009,non-elite,0.1435643728,0.05890652669,0.1286518639,0.04974218464,0.07240755759,-0.03494715871,0.02881916957,0.1382006976,0.2240772828
2010,non-elite,0.08211451337,0.0172149217,0.09283234949,0.01473332031,0.03745164999,-0.006693912649,-0.00228367199,0.09685274158,0.1777083417
2011,non-elite,0.08097005811,0.01737343084,0.09321663529,0.01577812166,0.03780847811,-0.003384995278,-0.01054644196,0.08870470153,0.175404544
2012,elite,0.1109334523,0.03880117813,0.1249923362,0.03879841172,0.07662017216,-0.01880061116,0.01299309223,0.1378439047,0.2100599737
2012,non-elite,0.1177549216,0.04491815066,0.1288938282,0.04396116112,0.0810447048,-0.02125347757,0.01910068649,0.1470185671,0.2165304296
2013,elite,0.1106495294,0.03798398159,0.1250446145,0.04558743029,0.08082489954,-0.01363950997,0.02855079555,0.138809449,0.2131610337
2013,non-elite,0.1164819192,0.04272018465,0.1196428308,0.04299142906,0.06458378805,-0.001596490636,0.0258854051,0.1334122877,0.2077318928
2014,elite,0.153904615,0.05767707276,0.1503293507,0.06000719639,0.0811067484,-0.002933939196,0.05105324755,0.1692326256,0.2337039833
2014,non-elite,0.1890515766,0.08605942868,0.1749612232,0.07598511462,0.09439252823,-0.01624863306,0.05554073853,0.2108348907,0.2597246916
2015,elite,0.2096719395,0.1055397498,0.1906194171,0.09180977233,0.1190675926,-0.0271978388,0.07605716683,0.2274331316,0.2815712226
2015,non-elite,0.2117767356,0.1187449501,0.1890875072,0.09574242978,0.1278812826,-0.03421012658,0.06889593383,0.2369589366,0.2872619392
2016,elite,0.228666177,0.1268911543,0.2049707465,0.1091947097,0.1372138393,-0.04386490276,0.0845390112,0.2444476449,0.3018811602
2016,non-elite,0.2271745386,0.1247874458,0.2059124069,0.1061511982,0.1288252833,-0.02970877254,0.05885565123,0.2456266145,0.2942057677
2017,elite,0.2304408026,0.1325693555,0.212798282,0.109755416,0.1473974447,-0.01618070972,0.04673263967,0.2525048597,0.2980582048
2017,non-elite,0.2144840739,0.1283813481,0.2024304781,0.09886259876,0.1431323473,-0.003431424678,0.01693925963,0.2474631042,0.2844827984
