year,region,net_social_justice_normalized,net_racial_diversity_normalized,net_womens_rights_normalized,net_gay_rights_normalized,net_activism_normalized,net_capitalism_normalized,net_administration_normalized,net_compassion_normalized,wokeness_index_normalized
2009,south,0.1314281622,-0.01590693257,0.09736659737,0.03359982714,0.08811558812,-0.1038232601,0.06421245421,0.09929149798,0.2152484329
2009,west,0.1388769517,0.00525708859,0.1117810118,0.06730769231,0.04226020893,-0.0760454823,0.05278388278,0.1378879892,0.2193168575
2010,midwest,0.1531609361,0.01311842033,0.1271106158,0.07394107881,0.05559191985,-0.0739854361,0.05712322042,0.1470247784,0.2298195865
2010,northeast,0.1201000523,-0.003718965961,0.116850109,0.06060184152,0.01790328118,-0.01485258756,0.01386729736,0.1059220215,0.1927944048
2010,west,0.1009050946,0.0349460727,0.09994089205,0.02343675941,0.03119862781,-0.01683671454,0.0250028285,0.09512580023,0.1896352366
2011,midwest,0.1109488309,0.04683967738,0.1067205302,0.03156071295,0.0428826419,-0.02199088883,0.02926488946,0.1079574811,0.2003450792
2011,northeast,0.1022095275,0.03762490565,0.09843253924,0.02558399366,0.03750912245,-0.02016974495,0.02179806657,0.1023062973,0.1924019401
2011,south,0.114783339,0.04481524617,0.1111375519,0.0290412106,0.06360237077,-0.0146582811,0.00748793226,0.1563773724,0.2060103623
2011,west,0.1165484711,0.04362098641,0.107802152,0.02870812547,0.05782407153,-0.02230104722,0.02629846752,0.1809773814,0.2108504904
2012,midwest,0.1371775783,0.05930172113,0.1290322225,0.04331248753,0.07706730462,-0.0293155534,0.04222377211,0.1936087021,0.2302098372
2012,northeast,0.1023766486,0.03425225784,0.1088343597,0.02911069662,0.0512150887,-0.008932649344,0.0191184623,0.1383114064,0.1986859758
2012,south,0.09300717373,0.02838921546,0.1013041698,0.0244340696,0.03993863536,0.003623861948,0.004152934492,0.1026613805,0.1845010729
2012,west,0.1187395911,0.04993714433,0.1102027164,0.0401291258,0.048261058,-0.009117122421,0.0232414406,0.1228277615,0.2039269971
2013,midwest,0.1474007589,0.06730805119,0.1295139784,0.05544347159,0.06661468366,-0.02105061497,0.03757447959,0.1397433888,0.2253209287
2013,northeast,0.1687969291,0.08415576975,0.1479354726,0.06919741469,0.08456713591,-0.02028938867,0.04381763877,0.1729797498,0.2440804576
2013,south,0.1440174485,0.06668044837,0.1379962798,0.05557216595,0.0771359487,-0.007030690992,0.0280980026,0.1851816027,0.2299003227
2013,west,0.1446588098,0.06134833605,0.1370023115,0.05752954415,0.07094924295,-0.01533192544,0.04919397885,0.2072081758,0.2347567113
2014,midwest,0.1599471949,0.07442111754,0.1446024063,0.06501919492,0.08219980608,-0.03001129646,0.06513739702,0.2343587469,0.250894569
2014,northeast,0.1848379874,0.08784550833,0.1648788744,0.07789944018,0.09408462701,-0.03443659045,0.06964405731,0.2381055511,0.2658332424
2014,south,0.2022987207,0.1146647439,0.1790647721,0.09431096923,0.113088272,-0.02842218189,0.05523840281,0.2377599801,0.2783706484
2014,west,0.1896023355,0.1038910824,0.1742066097,0.08647062829,0.09702708985,-0.02535366557,0.04816996868,0.2108087965,0.2654639219
2015,midwest,0.200583783,0.115201354,0.1798511518,0.09144752589,0.109750955,-0.02858807609,0.06513652268,0.2276074967,0.2773741158
2015,northeast,0.2063271049,0.112277141,0.1861472819,0.08457530221,0.1149222339,-0.03043597287,0.06788060326,0.2344752474,0.2797228739
2015,south,0.2114442213,0.1142235282,0.1875346734,0.0860345421,0.1153974234,-0.03229120171,0.07249879336,0.2404278426,0.2828525514
2015,west,0.2261042558,0.122965523,0.2019458571,0.09838718532,0.1190074322,-0.02811940192,0.0542886548,0.2353266868,0.287976742
2016,midwest,0.2164237852,0.1188139035,0.1938120089,0.09609243471,0.114928599,-0.01813577884,0.04776106599,0.2318624707,0.280785804
2016,northeast,0.2348619964,0.1356742441,0.2100701252,0.1100018964,0.1418985701,-0.0101849817,0.03558996203,0.2499318746,0.295163429
2016,south,0.2047827368,0.1213346377,0.1840048043,0.09977708329,0.1202737707,-0.01589473127,0.03959415358,0.2443974359,0.2797053739
2016,west,0.2146572909,0.1202256764,0.2005528887,0.1055038646,0.1155046296,-0.006541583997,0.008346702815,0.2332214351,0.2771372957
2017,midwest,0.1889145209,0.1060778121,0.1859078583,0.09429969032,0.09670277935,-0.00539873222,-0.01275751818,0.2162494412,0.2589220839
2017,northeast,0.2002795871,0.1098719501,0.2005681267,0.09240594264,0.1149227189,0.0006258935958,-0.01502478545,0.2218122409,0.2656473403
2017,south,0.1856982301,0.1117687256,0.1797284191,0.08449130763,0.1126931758,-0.01180297732,-0.007441676736,0.2106238926,0.260307215
2017,west,0.2311755979,0.1448382327,0.2140070326,0.1133567037,0.1476659388,-0.01718585845,-0.006942497754,0.2518078871,0.2943585266
2018,midwest,0.2238819914,0.1396697044,0.2098184691,0.1133274434,0.1361347317,-0.02119200373,-0.001466307278,0.2589777214,0.2920370281
2018,northeast,0.2210022612,0.1394683799,0.213882722,0.1163431314,0.1354645377,-0.02161653203,0.01464761905,0.279662594,0.2972571423
2018,south,0.1927369579,0.09942616875,0.1811294719,0.09039575191,0.1011025803,-0.01730156933,0.03663243616,0.253000286,0.2698946524
2018,west,0.1809818368,0.08267131866,0.1691643818,0.06935759648,0.06841959972,-0.0169605475,0.0518705314,0.2742173913,0.258480149
2019,midwest,0.1783738352,0.07635990521,0.1630611978,0.06342615209,0.0612244898,-0.01156791219,0.04020901114,0.2773673314,0.251811591
2019,northeast,0.1855583546,0.09678206097,0.1772253446,0.07267155186,0.08004063375,-0.01547773506,0.05026482895,0.2837148523,0.2659993942
2019,south,0.2098764618,0.1116176248,0.182948715,0.09437236702,0.1039020302,-0.005907240191,0.0474637085,0.248007938,0.2746833337
2019,west,0.2302539648,0.1207998986,0.1846174645,0.1058073487,0.1125511867,-0.01680693018,0.07698554622,0.2730899667,0.2910408853
2020,midwest,0.2125851746,0.1040194289,0.1650300455,0.08746291078,0.09717224555,0.001262688311,0.04782544597,0.2575115118,0.2683979143
2020,northeast,0.2342810554,0.1375645998,0.1913407657,0.1053671523,0.137619006,-0.01054186213,0.03444343507,0.2816277528,0.2942492333
2020,south,0.2350132014,0.1374138589,0.2019359763,0.1060073776,0.1457891623,-0.03889622382,0.06335674398,0.2593755411,0.3030662257
2020,west,0.3078675907,0.2224412421,0.2027894614,0.09434432488,0.1649729242,-0.06343674178,0.07304763788,0.3226873294,0.3400800579
2021,canada,0.3400658931,0.2146248813,0.177962578,0.0641025641,0.1183014516,-0.04136141636,0.1406593407,0.3307692308,0.3313749669
2021,midwest,0.2953753098,0.1903435838,0.1527331843,0.0439159697,0.08961557332,0.005266141544,0.08028643036,0.3216857934,0.2928270327
2021,northeast,0.2504576693,0.1388223133,0.179116089,0.08018404041,0.09454873285,0.01300136124,0.09765012946,0.2966921499,0.2886364157
2021,south,0.2088471896,0.1231317459,0.1871931315,0.1000729723,0.1103609326,-0.02914423263,0.06822484211,0.2756395183,0.2887211341
2022,midwest,0.2148613656,0.1200761827,0.1924641052,0.09973234117,0.1184932903,-0.03021318248,0.06837797219,0.2476109449,0.2881443588
2022,northeast,0.2020992557,0.09507256716,0.1766346111,0.08965717867,0.1070780767,-0.03302673654,0.06226968434,0.2327549643,0.27385585
2022,south,0.1774155081,0.08395537443,0.1772062172,0.08624764748,0.09244165593,-0.02844728023,0.04496481296,0.2341584731,0.2630577257
2023,midwest,0.1677702806,0.0765615337,0.1537365937,0.06951375715,0.07229513579,-0.01214182643,0.07119191919,0.2954720134,0.2580254943
2023,northeast,0.1751707014,0.1136978248,0.203043043,0.1026217228,0.1432490692,-0.01375661376,0.04914285714,0.3168031189,0.2914734734
2023,south,0.1582867784,0.114638448,0.1643643644,0.07365792759,0.1303155007,-0.02248677249,0.05396825397,0.2744639376,0.2724348848
